peak_name,peak_number,fold_increase,log2_change,strain
yaaD-yaaE,1,1.966858435,0.975893123,wt
purR-yabJ,2,2.645101841,1.40332327,wt
pbuG,3,1.60331754,0.681060182,wt
purE,4,2.262418452,1.177865792,wt
ykbA/mhqA,5,2.587763079,1.371705538,wt
pycA,6,2.930889348,1.551338502,wt
yolJ,7,1.854038905,0.890671517,wt
xpt-pbuX,8,2.486688239,1.314225646,wt
nusB-folD,9,2.423708327,1.277216093,wt
pbuO,10,2.923229568,1.547563132,wt
guaC,11,1.539124267,0.622109718,wt
oppBA-yvaV,12,2.534009711,1.341422053,wt
opuCA-yvbF,13,2.045550767,1.032489343,wt
glyA,14,1.603786506,0.681482105,wt
purA,15,1.6137533,0.690420045,wt
yaaD-yaaE,1,0.928595128,-0.106878384,p0
purR-yabJ,2,0.835083893,-0.260006956,p0
pbuG,3,0.786909764,-0.345729885,p0
purE,4,0.656456651,-0.60722835,p0
ykbA/mhqA,5,0.466056757,-1.101422437,p0
pycA,6,0.715553348,-0.482868765,p0
yolJ,7,1.310664488,0.390298423,p0
xpt-pbuX,8,0.816780611,-0.291979476,p0
nusB-folD,9,0.879214329,-0.185713196,p0
pbuO,10,0.572563805,-0.804491623,p0
guaC,11,0.504889461,-0.985960532,p0
oppBA-yvaV,12,2.198185246,1.136312971,p0
opuCA-yvbF,13,1.43371609,0.519759364,p0
glyA,14,0.725977824,-0.462002616,p0
purA,15,0.478088667,-1.064649887,p0
